Pattern,Description,Weight,Detection,Category,Examples
"AI Color Palette","AI 颜色调色板（青色+深色、紫色渐变）",10,"(cyan|#00ffff|#06b6d4).*dark|purple.*gradient.*blue|background.*#0a0e27.*color.*#00ffff",Color,"background: #0a0e27; color: #00ffff; background: linear-gradient(135deg, #667eea 0%, #764ba2 100%);"
"Overused Fonts","过度使用的字体（Inter, Arial, Roboto）",8,"font-family.*(Inter|Arial|Roboto|Open Sans|Lato|Montserrat)",Typography,"font-family: Inter, sans-serif; font-family: 'Roboto', sans-serif;"
"Hero Metric Layout","Hero 指标布局模板",7,"big.*number.*small.*label.*stats|hero.*metric.*layout|metric.*hero",Layout,"<div class='hero-metric'><h1>1000</h1><p>Users</p></div>"
"Glassmorphism","玻璃态效果（装饰性使用）",6,"backdrop-filter.*blur.*10px|glass.*card|frosted.*glass",Effect,"backdrop-filter: blur(10px); background: rgba(255,255,255,0.1);"
"Bounce Easing","弹跳缓动",5,"ease.*bounce|elastic.*easing|cubic-bezier.*bounce|spring.*animation",Animation,"transition: all 0.3s cubic-bezier(0.68, -0.55, 0.265, 1.55); animation: bounce 0.5s;"
"Card Grid Template","卡片网格模板",6,"card.*grid.*repeat|grid.*card.*identical|same.*card.*size",Layout,"<div class='card-grid'><div class='card'>...</div><div class='card'>...</div></div>"
"Gradient Text","渐变文字（装饰性）",4,"background.*gradient.*-webkit-background-clip.*text|gradient.*text.*decoration",Effect,"background: linear-gradient(...); -webkit-background-clip: text; color: transparent;"
"Dark Mode Glow","深色模式+发光效果",7,"dark.*mode.*glow|text-shadow.*0.*0.*10px|glow.*dark.*background",Effect,"background: #000; text-shadow: 0 0 10px #00ffff;"
"Rounded Border Accent","圆角+单侧彩色边框",5,"rounded.*border.*left|border.*left.*rounded|rounded.*border.*accent",Layout,"border-radius: 8px; border-left: 4px solid #3b82f6;"
"Sparklines Decoration","装饰性小图表",3,"sparkline.*decoration|tiny.*chart.*meaningless|chart.*decoration",Effect,"<svg class='sparkline'>...</svg>"
"Modal Overuse","过度使用模态框",4,"modal.*everywhere|dialog.*overuse|popup.*frequent",Interaction,"<Modal><Modal><Modal>...</Modal></Modal></Modal>"
"Generic Shadows","通用阴影（rounded + shadow）",3,"rounded.*shadow|border-radius.*box-shadow.*generic",Effect,"border-radius: 8px; box-shadow: 0 2px 4px rgba(0,0,0,0.1);"
"Monospace Technical","使用等宽字体表示技术感",4,"font-family.*monospace.*technical|code.*font.*body",Typography,"font-family: 'Courier New', monospace; /* for technical vibe */"
"Large Icon Headings","大图标+标题组合",3,"large.*icon.*heading|icon.*above.*heading.*rounded",Layout,"<div class='icon-large'><Icon /></div><h2>Heading</h2>"
"Purple Blue Gradient","紫色到蓝色渐变",6,"purple.*blue.*gradient|#667eea.*#764ba2|gradient.*purple.*blue",Color,"background: linear-gradient(135deg, #667eea 0%, #764ba2 100%);"
