Category,Topic,Description,Do,Don't,Code Example Good,Code Example Bad,Severity,Keywords
"Color Spaces","Use OKLCH","Stop using HSL. Use OKLCH (or LCH) instead. It's perceptually uniform, meaning equal steps in lightness look equal—unlike HSL where 50% lightness in yellow looks bright while 50% in blue looks dark.","Use OKLCH for color spaces","Use HSL for color spaces","--color-primary: oklch(60% 0.15 250);","--color-primary: hsl(210, 70%, 50%);",High,"OKLCH,color space,perceptually uniform"
"Color Spaces","Chroma Reduction","As you move toward white or black, reduce chroma (saturation). High chroma at extreme lightness looks garish.","Reduce chroma at extreme lightness","Use high chroma at extreme lightness","--color-light: oklch(85% 0.08 250);","--color-light: oklch(85% 0.15 250);",Medium,"chroma,saturation,lightness"
"Functional Palettes","Tinted Neutrals","Pure gray is dead. Add a subtle hint of your brand hue to all neutrals. The chroma is tiny (0.01) but perceptible.","Add subtle brand hue to neutrals","Use pure gray without tint","--gray-100: oklch(95% 0.01 60);","--gray-100: oklch(95% 0 0);",High,"tinted neutrals,brand cohesion,neutral colors"
"Functional Palettes","Palette Structure","A complete system needs: Primary (1 color, 3-5 shades), Neutral (9-11 shade scale), Semantic (4 colors, 2-3 shades each), Surface (2-3 elevation levels).","Use structured palette with clear roles","Create palettes without clear roles","--color-primary: oklch(60% 0.15 250); --color-neutral-50: oklch(95% 0.01 250);","Random color values",High,"palette structure,color roles"
"Functional Palettes","60-30-10 Rule","This rule is about visual weight, not pixel count: 60% neutral backgrounds, 30% secondary colors, 10% accent.","Use 60-30-10 rule for visual weight","Use accent color everywhere","60% neutral, 30% secondary, 10% accent","All accent color",Medium,"60-30-10 rule,visual weight"
"Contrast & Accessibility","WCAG Requirements","Body text needs 4.5:1 (AA) or 7:1 (AAA). Large text (18px+ or 14px bold) needs 3:1 (AA) or 4.5:1 (AAA).","Ensure WCAG AA/AAA contrast ratios","Ignore contrast ratios","color: oklch(20% 0.1 250); background: oklch(95% 0.01 250);","color: oklch(50% 0.1 250); background: oklch(90% 0.01 250);",Critical,"WCAG,contrast,accessibility"
"Contrast & Accessibility","Dangerous Color Combinations","Light gray text on white, gray text on colored backgrounds, red on green, blue on red, yellow on white commonly fail contrast.","Avoid dangerous color combinations","Use gray text on colored backgrounds","color: oklch(30% 0.1 250); background: oklch(60% 0.15 250);","color: oklch(60% 0 0); background: oklch(60% 0.15 250);",Critical,"color combinations,contrast,readability"
"Contrast & Accessibility","Never Pure Black or White","Pure gray (oklch(50% 0 0)) and pure black (#000) don't exist in nature—real shadows and surfaces always have a color cast.","Use tinted black/white","Use pure black (#000) or pure white (#fff)","background: oklch(15% 0.01 250);","background: #000000;",High,"pure black,white,tinted neutrals"
"Theming","Dark Mode Strategy","Dark mode is not inverted light mode. Dark mode requires different design decisions: lighter surfaces for depth (no shadows), reduce font weight slightly, desaturate accents.","Design dark mode separately","Just invert light mode colors","--surface-1: oklch(15% 0.01 250); --surface-2: oklch(20% 0.01 250);","background: invert(light-bg);",High,"dark mode,theming,color strategy"
"Theming","Token Hierarchy","Use two layers: primitive tokens (--blue-500) and semantic tokens (--color-primary: var(--blue-500)). For dark mode, only redefine the semantic layer.","Use two-layer token system","Mix primitive and semantic tokens","--blue-500: oklch(...); --color-primary: var(--blue-500);","--color-primary: oklch(...); --color-primary-dark: oklch(...);",Medium,"design tokens,token hierarchy"
"Alpha Transparency","Alpha Is A Design Smell","Heavy use of transparency (rgba, hsla) usually means an incomplete palette. Alpha creates unpredictable contrast, performance overhead, and inconsistency.","Define explicit overlay colors","Use heavy alpha transparency","--overlay-light: oklch(95% 0.01 250);","background: rgba(255,255,255,0.1);",Medium,"alpha,transparency,overlay colors"
