Category,Topic,Description,Do,Don't,Code Example Good,Code Example Bad,Severity,Keywords
"Clarity","Make Every Word Count","Make every word earn its place. Remove redundant words and phrases.","Use concise, clear language","Use redundant words","<button>Save</button>","<button>Click here to save your changes</button>",Medium,"clarity,concise writing,UX writing"
"Clarity","Avoid Redundancy","Don't repeat information users can already see. Headers shouldn't restate what's obvious.","Remove redundant information","Repeat visible information","<h1>Dashboard</h1><p>Welcome to your dashboard</p>","<h1>Dashboard</h1><p>This is your dashboard page where you can see your dashboard</p>",Medium,"redundancy,clarity"
"Button Labels","Action-Oriented Labels","Button labels should be action-oriented and clear. 'Save' not 'Click to save'.","Use action-oriented labels","Use vague labels","<button>Save Changes</button>","<button>Submit</button> (unclear)",High,"button labels,actions,clarity"
"Button Labels","Consistent Language","Use consistent language across the interface. Don't mix 'Save' and 'Store' for the same action.","Use consistent terminology","Mix terminology","Always use 'Save'","Sometimes 'Save', sometimes 'Store'",Medium,"consistency,terminology"
"Error Messages","Helpful Error Messages","Error messages should help users fix the problem. 'Please enter a valid email address' not 'Error'.","Write helpful error messages","Write generic errors","<span>Please enter a valid email address</span>","<span>Error</span>",High,"error messages,helpful,UX"
"Error Messages","Non-Blaming Tone","Error messages shouldn't blame the user. 'Unable to connect' not 'You entered the wrong password'.","Use non-blaming tone","Blame the user","<span>Unable to connect. Please try again.</span>","<span>You entered the wrong password</span>",High,"error messages,tone,UX writing"
"Empty States","Actionable Empty States","Empty states should guide users toward action, not just say 'nothing here'.","Guide users to action","Just say 'nothing here'","<div>No items yet. <button>Add your first item</button></div>","<div>No items</div>",Medium,"empty states,guidance,UX"
"Empty States","Encouraging Tone","Use encouraging tone in empty states. Help users get started.","Use encouraging tone","Use negative tone","<div>Get started by adding your first item</div>","<div>You have no items</div>",Low,"empty states,tone,encouragement"
"Labels","Clear Field Labels","Form labels should be clear and specific. 'Email address' not 'Email or username'.","Use clear, specific labels","Use vague labels","<label>Email address</label>","<label>Email or username</label>",High,"labels,forms,clarity"
"Microcopy","Helpful Hints","Use microcopy to provide helpful hints without being verbose.","Provide helpful hints","Be verbose or silent","<input><small>We'll never share your email</small>","<input> or <input><small>This is your email address which we will use to contact you and we promise we will never share it with anyone else ever</small>",Medium,"microcopy,hints,UX writing"
