Name,Description,Severity,Detection,Recommendation,Command,Category,Examples
"Overused Fonts","使用过度使用的字体（Inter, Arial, Roboto, Open Sans）",High,"font-family.*(Inter|Arial|Roboto|Open Sans|Lato|Montserrat)","使用更独特的字体，如 Instrument Sans, Plus Jakarta Sans, Outfit, Onest, Figtree",audit,Typography,"font-family: Inter, sans-serif;"
"Gray on Color","在彩色背景上使用灰色文字",Critical,"background.*#[0-9a-f]{3,6}.*color.*(gray|grey|#6b7280|#808080)","使用背景色的深色变体，而不是纯灰色",critique,Color,"background: #3b82f6; color: #6b7280;"
"Nested Cards","卡片嵌套卡片",Medium,"\.card.*\.card|card.*card","扁平化层次结构，移除不必要的容器",normalize,Layout,"<div class='card'><div class='card'>...</div></div>"
"Pure Black White","使用纯黑(#000)或纯白(#fff)",High,"(#000000|#fff|#ffffff|rgb\(0,\s*0,\s*0\)|rgb\(255,\s*255,\s*255\))","使用带色调的中性色，如 oklch(15% 0.01 250) 代替纯黑",audit,Color,"background: #000000; color: #ffffff;"
"Bounce Easing","使用弹跳或弹性缓动",Medium,"(bounce|elastic|cubic-bezier.*bounce)","使用指数缓动（ease-out-quart/quint/expo）代替弹跳效果",normalize,Animation,"transition: all 0.3s cubic-bezier(0.68, -0.55, 0.265, 1.55);"
"Glassmorphism Overuse","过度使用玻璃态效果",Medium,"backdrop-filter.*blur|glass.*card","仅在必要时使用玻璃态，避免装饰性使用",critique,Effect,"backdrop-filter: blur(10px); background: rgba(255,255,255,0.1);"
"Hero Metric Template","使用 Hero 指标布局模板",Low,"big.*number.*small.*label.*stats|hero.*metric","避免使用通用的 Hero 指标模板，创造独特布局",critique,Layout,"<div class='hero-metric'><big>1000</big><small>Users</small></div>"
"Card Grid Repetition","使用重复的卡片网格",Medium,"\.card-grid|grid.*card.*repeat","变化卡片大小和布局，避免完全相同的重复",normalize,Layout,"<div class='card-grid'><div class='card'>...</div><div class='card'>...</div></div>"
"Gradient Text Decoration","使用渐变文字作为装饰",Low,"background.*gradient.*text|gradient.*text.*decoration","避免将渐变文字用于装饰，仅在有意义时使用",critique,Effect,"background: linear-gradient(...); -webkit-background-clip: text;"
"AI Color Palette","使用 AI 颜色调色板（青色+深色、紫色渐变）",High,"(cyan|#00ffff|#06b6d4).*dark|purple.*gradient.*blue","使用与品牌相关的配色方案，避免通用 AI 调色板",critique,Color,"background: #0a0e27; color: #00ffff;"
"Missing Focus Indicators","缺少焦点指示器",Critical,":focus.*outline.*none|:focus.*border.*none","为所有可交互元素添加清晰的焦点指示器",audit,Accessibility,"button:focus { outline: none; }"
"Low Contrast Text","文本对比度不足（<4.5:1）",Critical,"color.*#[0-9a-f]{3,6}.*background.*#[0-9a-f]{3,6}","确保文本对比度至少 4.5:1（AA）或 7:1（AAA）",audit,Accessibility,"color: #cccccc; background: #ffffff;"
"Hard-coded Colors","硬编码颜色值",Medium,"color:\s*(#[0-9a-f]{3,6}|rgb|rgba)","使用设计令牌或 CSS 变量代替硬编码颜色",normalize,Theming,"color: #3b82f6; background: #ffffff;"
"Fixed Widths Mobile","移动端使用固定宽度",High,"width:\s*\d+px|min-width:\s*\d+px","使用响应式单位（rem, %, vw）或容器查询",audit,Responsive,"width: 1200px; min-width: 800px;"
"Small Touch Targets","触摸目标太小（<44x44px）",Critical,"width:\s*[0-3][0-9]px|height:\s*[0-3][0-9]px","确保触摸目标至少 44x44px",audit,Responsive,"button { width: 30px; height: 30px; }"
"Animate Layout Properties","动画化布局属性（width, height, top, left）",High,"transition.*(width|height|top|left|margin|padding)|animate.*(width|height)","使用 transform 和 opacity 代替布局属性动画",audit,Performance,"transition: width 0.3s; animation: height 0.3s;"
"Missing Lazy Loading","图片缺少懒加载",Medium,"<img.*src=|background-image:.*url","为图片添加 loading='lazy' 或使用 Intersection Observer",audit,Performance,"<img src='image.jpg'>"
"Centered Everything","所有内容居中",Low,"text-align:\s*center|margin:\s*auto.*auto","使用左对齐文本和不对称布局，避免所有内容居中",critique,Layout,"text-align: center; margin: 0 auto;"
"Redundant Copy","重复的信息（冗余文案）",Low,"header.*heading.*intro|重复.*信息","移除重复的标题和介绍，让每个词都有价值",critique,UX Writing,"<h1>Title</h1><p>This is the title section...</p>"
"All Primary Buttons","所有按钮都是主要样式",Medium,"button.*primary|btn-primary.*btn-primary","使用按钮层次结构：主要、次要、文本链接",normalize,Interaction,"<button class='btn-primary'>...</button><button class='btn-primary'>...</button>"
