Category,Topic,Description,Do,Don't,Code Example Good,Code Example Bad,Severity,Keywords
"Forms","Input Labels","Every input needs a visible label. Placeholder text is not a label.","Use visible labels for inputs","Use placeholder as label","<label for='email'>Email</label><input id='email'>","<input placeholder='Email'>",Critical,"forms,labels,accessibility"
"Forms","Error Messages","Error messages should be helpful and non-blaming. Show them near the field, not just at the top.","Show helpful error messages near field","Show generic errors at top","<span class='error'>Please enter a valid email</span>","Error: Invalid input",High,"error messages,forms,UX"
"Forms","Required Indicators","Clearly indicate required fields. Don't rely on asterisks alone—some users don't understand them.","Use clear required indicators","Only use asterisks","<label>Email <span aria-label='required'>*</span></label>","<label>Email *</label>",Medium,"required fields,indicators,accessibility"
"Focus States","Visible Focus","All interactive elements need visible focus indicators. Don't remove outline without replacement.","Provide visible focus indicators","Remove outline without replacement","button:focus { outline: 3px solid var(--color-primary); }","button:focus { outline: none; }",Critical,"focus states,accessibility,keyboard navigation"
"Focus States","Focus Order","Tab order should follow visual order and be logical.","Ensure logical tab order","Ignore tab order","Logical DOM order matches visual order","Tab jumps randomly",High,"focus order,tab order,keyboard navigation"
"Loading States","Loading Feedback","Show feedback during async operations. Use skeleton screens or spinners.","Show loading states","Leave UI frozen","<div class='skeleton'>Loading...</div>","Blank screen",High,"loading states,feedback,UX"
"Loading States","Optimistic UI","Update UI immediately, sync later. Makes interactions feel fast.","Use optimistic UI updates","Wait for server response","Update UI immediately, sync later","Wait for API response",Medium,"optimistic UI,performance,UX"
"Progressive Disclosure","Start Simple","Start simple, reveal sophistication through interaction. Basic options first, advanced behind expandable sections.","Use progressive disclosure","Show everything at once","<details><summary>Advanced</summary>...</details>","All options visible",Medium,"progressive disclosure,complexity management"
"Empty States","Helpful Empty States","Design empty states that teach the interface, not just say 'nothing here'.","Create helpful empty states","Show 'nothing here'","<div>No items yet. <button>Add your first item</button></div>","<div>No items</div>",Medium,"empty states,UX,onboarding"
"Button Hierarchy","Button Styles","Not every button should be primary. Use ghost buttons, text links, secondary styles. Hierarchy matters.","Use button hierarchy","Make all buttons primary","<button class='primary'>Submit</button><button class='ghost'>Cancel</button>","<button class='primary'>Submit</button><button class='primary'>Cancel</button>",High,"button hierarchy,UI components"
